"id";"tipo";"id_marca";"id_modelo";"id_modelo_ano";"name"
"5936";"1";"161";"7223";"2017-1";"2017 Gasolina"
"5937";"1";"161";"7223";"2016-1";"2016 Gasolina"
"5938";"1";"161";"7223";"2015-1";"2015 Gasolina"
"5939";"1";"22";"6423";"2016-1";"2016 Gasolina"
"5940";"1";"22";"6423";"2015-1";"2015 Gasolina"
"5941";"1";"22";"6423";"2014-1";"2014 Gasolina"
"5942";"1";"22";"6423";"2013-1";"2013 Gasolina"
"5943";"1";"22";"6424";"2016-1";"2016 Gasolina"
"5944";"1";"22";"6424";"2015-1";"2015 Gasolina"
"5945";"1";"22";"6424";"2014-1";"2014 Gasolina"
"5946";"1";"22";"6424";"2013-1";"2013 Gasolina"
"5947";"1";"161";"5208";"2012-1";"2012 Gasolina"
"5948";"1";"161";"5208";"2011-1";"2011 Gasolina"
"5949";"1";"161";"5208";"2010-1";"2010 Gasolina"
"5950";"1";"161";"5209";"2012-1";"2012 Gasolina"
"5951";"1";"161";"5209";"2011-1";"2011 Gasolina"
"5952";"1";"161";"5209";"2010-1";"2010 Gasolina"
"5953";"1";"22";"772";"2013-1";"2013 Gasolina"
"5954";"1";"22";"772";"2012-1";"2012 Gasolina"
"5955";"1";"22";"772";"2011-1";"2011 Gasolina"
"5956";"1";"22";"772";"2010-1";"2010 Gasolina"
"5957";"1";"22";"772";"2009-1";"2009 Gasolina"
"5958";"1";"22";"772";"2008-1";"2008 Gasolina"
"5959";"1";"22";"772";"2007-1";"2007 Gasolina"
"5960";"1";"22";"772";"2006-1";"2006 Gasolina"
"5961";"1";"22";"772";"2005-1";"2005 Gasolina"
"5962";"1";"161";"5210";"2015-1";"2015 Gasolina"
"5963";"1";"161";"5210";"2014-1";"2014 Gasolina"
"5964";"1";"161";"5210";"2013-1";"2013 Gasolina"
"5965";"1";"161";"5210";"2012-1";"2012 Gasolina"
"5966";"1";"161";"5210";"2011-1";"2011 Gasolina"
"5967";"1";"161";"5210";"2010-1";"2010 Gasolina"
"5968";"1";"161";"7224";"2020-1";"2020 Gasolina"
"5969";"1";"161";"7224";"2019-1";"2019 Gasolina"
"5970";"1";"161";"7224";"2018-1";"2018 Gasolina"
"5971";"1";"161";"7224";"2017-1";"2017 Gasolina"
"5972";"1";"161";"7224";"2016-1";"2016 Gasolina"
"5973";"1";"161";"7224";"2015-1";"2015 Gasolina"
"5974";"1";"22";"773";"2000-1";"2000 Gasolina"
"5975";"1";"22";"773";"1999-1";"1999 Gasolina"
"5976";"1";"22";"773";"1998-1";"1998 Gasolina"
"5977";"1";"22";"774";"2000-1";"2000 Gasolina"
"5978";"1";"22";"774";"1999-1";"1999 Gasolina"
"5979";"1";"22";"774";"1998-1";"1998 Gasolina"
"5980";"1";"161";"7089";"2015-1";"2015 Gasolina"
"5981";"1";"22";"775";"2004-1";"2004 Gasolina"
"5982";"1";"22";"775";"2003-1";"2003 Gasolina"
"5983";"1";"161";"7225";"2020-1";"2020 Gasolina"
"5984";"1";"161";"7225";"2019-1";"2019 Gasolina"
"5985";"1";"161";"7225";"2018-1";"2018 Gasolina"
"5986";"1";"161";"7225";"2017-1";"2017 Gasolina"
"5987";"1";"161";"7225";"2016-1";"2016 Gasolina"
"5988";"1";"161";"7225";"2015-1";"2015 Gasolina"
"5989";"1";"22";"776";"1999-1";"1999 Gasolina"
"5990";"1";"22";"776";"1998-1";"1998 Gasolina"
